¿En qué año nació oficialmente el cine? ,1895,,
1895,1898,1888,1900
¿Cuál fue el primer filme español de ficción? ,Riña en un café ,,
El hotel eléctrico ,Salida de los obreros de la España industrial ,La vida de Cristóbal Colón y su descubrimiento de América ,Riña en un café 
'No es tan difícil hacer dinero cuando es solo hacer dinero lo que se pretende',Ciudadano Kane,,
Ciudadano Kane,El lobo de Wall Street,Tarde de perros,El color en el dinero
Los dinosaurios se pusieron de moda gracias a esta película:,Parque Jurásico,,
King Kong,El valle encantado,Parque Jurásico,Godzilla
Si te hablamos de la película de zombis por excelencia dirías que es... ,La noche de los muertos vivientes,,
Re-Animator,La noche de los muertos vivientes,Brainhead,20 días después
"Un anillo para gobernarlos a todos, de eso trata la pelicula",El señor de los anillos,,
El laberinto del fauno,La torre oscura,El misterio del anillo,El señor de los anillos
¿Cómo se llama el horrible vecino de 'Toy Story'? ,Sid,,
Tobias,Max,Sid,Tommy
¿Cómo se llamaban los ladrones de 'Solo en casa'? ,Harry y Marv,,
Harvey y Marvin,Barry e Iris,Harry y Marv,Barry y Mark
¿Que pelicula fué la primera en ser nominada a un Oscar?,La bella y la bestia,,
Toy Story,La bella y la bestia,Alladin,Al otro Laddin
¿Quién fue Stephanie Zinone en 'Grease 2'? ,Michelle Pfeiffer,,
Loma Luft,Kelly Preston,Michelle Pfeiffer,Sofia Vergara
